"home","away","hgoal","agoal"
"West Ham","Newcastle",2,3
"Bournemouth","West Ham",3,3
"Chelsea","Brighton",2,0
"Huddersfield","Stoke",1,1
"Liverpool","Swansea",5,0
"Man United","Burnley",2,2
"Tottenham","Southampton",5,2
"Watford","Leicester",2,1
"West Brom","Everton",0,0
"Newcastle","Man City",0,1
"Crystal Palace","Arsenal",2,3
"Bournemouth","Everton",2,1
"Chelsea","Stoke",5,0
"Huddersfield","Burnley",0,0
"Liverpool","Leicester",2,1
"Man United","Southampton",0,0
"Newcastle","Brighton",0,0
"Watford","Swansea",1,2
"Crystal Palace","Man City",0,0
"West Brom","Arsenal",1,1
"Brighton","Bournemouth",2,2
"Burnley","Liverpool",1,2
"Everton","Man United",0,2
"Leicester","Huddersfield",3,0
"Stoke","Newcastle",0,1
"Man City","Watford",3,1
"Southampton","Crystal Palace",1,2
"Swansea","Tottenham",0,2
"West Ham","West Brom",2,1
"Arsenal","Chelsea",2,2
"Tottenham","West Ham",1,1
"Chelsea","Leicester",0,0
"Crystal Palace","Burnley",1,0
"Huddersfield","West Ham",1,4
"Newcastle","Swansea",1,1
"Tottenham","Everton",4,0
"Watford","Southampton",2,2
"West Brom","Brighton",2,0
"Bournemouth","Arsenal",2,1
"Liverpool","Man City",4,3
"Man United","Stoke",3,0
"Arsenal","Crystal Palace",4,1
"Brighton","Chelsea",0,4
"Burnley","Man United",0,1
"Everton","West Brom",1,1
"Leicester","Watford",2,0
"Man City","Newcastle",3,1
"Stoke","Huddersfield",2,0
"West Ham","Bournemouth",1,1
"Southampton","Tottenham",1,1
"Swansea","Liverpool",1,0
"Huddersfield","Liverpool",0,3
"Swansea","Arsenal",3,1
"West Ham","Crystal Palace",1,1
"Chelsea","Bournemouth",0,3
"Everton","Leicester",2,1
"Man City","West Brom",3,0
"Newcastle","Burnley",1,1
"Southampton","Brighton",1,1
"Stoke","Watford",0,0
"Tottenham","Man United",2,0
"Arsenal","Everton",5,1
"Bournemouth","Stoke",2,1
"Brighton","West Ham",3,1
"Burnley","Man City",1,1
"Leicester","Swansea",1,1
"Man United","Huddersfield",2,0
"West Brom","Southampton",2,3
"Crystal Palace","Newcastle",1,1
"Liverpool","Tottenham",2,2
"Watford","Chelsea",4,1
"Everton","Crystal Palace",3,1
"Man City","Leicester",5,1
"Stoke","Brighton",1,1
"Swansea","Burnley",1,0
"Tottenham","Arsenal",1,0
"West Ham","Watford",2,0
"Huddersfield","Bournemouth",4,1
"Newcastle","Man United",1,0
"Southampton","Liverpool",0,2
"Chelsea","West Brom",3,0
"Bournemouth","Newcastle",2,2
"Brighton","Swansea",4,1
"Burnley","Southampton",1,1
"Leicester","Stoke",1,1
"Liverpool","West Ham",4,1
"Watford","Everton",1,0
"West Brom","Huddersfield",1,2
"Crystal Palace","Tottenham",0,1
"Man United","Chelsea",2,1
"Arsenal","Man City",0,3
"Burnley","Everton",2,1
"Leicester","Bournemouth",1,1
"Liverpool","Newcastle",2,0
"Southampton","Stoke",0,0
"Swansea","West Ham",4,1
"Tottenham","Huddersfield",2,0
"Watford","West Brom",1,0
"Brighton","Arsenal",2,1
"Man City","Chelsea",1,0
"Crystal Palace","Man United",2,3
"Chelsea","Crystal Palace",2,1
"Everton","Brighton",2,0
"Huddersfield","Swansea",0,0
"Man United","Liverpool",2,1
"Newcastle","Southampton",3,0
"West Brom","Leicester",1,4
"West Ham","Burnley",0,3
"Arsenal","Watford",3,0
"Bournemouth","Tottenham",1,4
"Stoke","Man City",0,2
"Bournemouth","West Brom",2,1
"Huddersfield","Crystal Palace",0,2
"Liverpool","Watford",5,0
"Stoke","Everton",1,2
"Brighton","Leicester",0,2
"Crystal Palace","Liverpool",1,2
"Everton","Man City",1,3
"Man United","Swansea",2,0
"Newcastle","Huddersfield",1,0
"Watford","Bournemouth",2,2
"West Brom","Burnley",1,2
"West Ham","Southampton",3,0
"Arsenal","Stoke",3,0
"Chelsea","Tottenham",1,3
"Bournemouth","Crystal Palace",2,2
"Brighton","Huddersfield",1,1
"Everton","Liverpool",0,0
"Leicester","Newcastle",1,2
"Man City","Man United",2,3
"Stoke","Tottenham",1,2
"Watford","Burnley",1,2
"West Brom","Swansea",1,1
"Arsenal","Southampton",3,2
"Chelsea","West Ham",1,1
"Burnley","Leicester",2,1
"Crystal Palace","Brighton",3,2
"Huddersfield","Watford",1,0
"Liverpool","Bournemouth",3,0
"Southampton","Chelsea",2,3
"Swansea","Everton",1,1
"Tottenham","Man City",1,3
"Man United","West Brom",0,1
"Newcastle","Arsenal",2,1
"West Ham","Stoke",1,1
"Brighton","Tottenham",1,1
"Bournemouth","Man United",0,2
"Burnley","Chelsea",1,2
"Leicester","Southampton",0,0
"Watford","Crystal Palace",0,0
"West Brom","Liverpool",2,2
"Arsenal","West Ham",4,1
"Man City","Swansea",5,0
"Stoke","Burnley",1,1
"Everton","Newcastle",1,0
"Burnley","Brighton",0,0
"Crystal Palace","Leicester",5,0
"Huddersfield","Everton",0,2
"Liverpool","Stoke",0,0
"Newcastle","West Brom",0,1
"Southampton","Bournemouth",2,1
"Swansea","Chelsea",0,1
"Man United","Arsenal",2,1
"West Ham","Man City",1,4
"Tottenham","Watford",2,0
"Brighton","Man United",1,0
"Bournemouth","Swansea",1,0
"Everton","Southampton",1,1
"Leicester","West Ham",0,2
"Stoke","Crystal Palace",1,2
"Watford","Newcastle",2,1
"West Brom","Tottenham",1,0
"Arsenal","Burnley",5,0
"Chelsea","Liverpool",1,0
"Man City","Huddersfield",0,0
"Swansea","Southampton",0,1
"Chelsea","Huddersfield",1,1
"Leicester","Arsenal",3,1
"Man City","Brighton",3,1
"Tottenham","Newcastle",1,0
"West Ham","Man United",0,0
"Burnley","Bournemouth",1,2
"Crystal Palace","West Brom",2,0
"Huddersfield","Arsenal",0,1
"Liverpool","Brighton",4,0
"Man United","Watford",1,0
"Newcastle","Chelsea",3,0
"Southampton","Man City",0,1
"Swansea","Stoke",1,2
"Tottenham","Leicester",5,4
"West Ham","Everton",3,1
"Man United","Leicester",2,1
"Bournemouth","Cardiff",2,0
"Fulham","Crystal Palace",0,2
"Huddersfield","Chelsea",0,3
"Newcastle","Tottenham",1,2
"Watford","Brighton",2,0
"Wolves","Everton",2,2
"Arsenal","Man City",0,2
"Liverpool","West Ham",4,0
"Southampton","Burnley",0,0
"Cardiff","Newcastle",0,0
"Chelsea","Arsenal",3,2
"Everton","Southampton",2,1
"Leicester","Wolves",2,0
"Tottenham","Fulham",3,1
"West Ham","Bournemouth",1,2
"Brighton","Man United",3,2
"Burnley","Watford",1,3
"Man City","Huddersfield",6,1
"Crystal Palace","Liverpool",0,2
"Arsenal","West Ham",3,1
"Bournemouth","Everton",2,2
"Huddersfield","Cardiff",0,0
"Liverpool","Brighton",1,0
"Southampton","Leicester",1,2
"Wolves","Man City",1,1
"Fulham","Burnley",4,2
"Newcastle","Chelsea",1,2
"Watford","Crystal Palace",2,1
"Man United","Tottenham",0,3
"Brighton","Fulham",2,2
"Chelsea","Bournemouth",2,0
"Crystal Palace","Southampton",0,2
"Everton","Huddersfield",1,1
"Leicester","Liverpool",1,2
"Man City","Newcastle",2,1
"West Ham","Wolves",0,1
"Burnley","Man United",0,2
"Cardiff","Arsenal",2,3
"Watford","Tottenham",2,1
"Bournemouth","Leicester",4,2
"Chelsea","Cardiff",4,1
"Huddersfield","Crystal Palace",0,1
"Man City","Fulham",3,0
"Newcastle","Arsenal",1,2
"Tottenham","Liverpool",1,2
"Watford","Man United",1,2
"Everton","West Ham",1,3
"Wolves","Burnley",1,0
"Southampton","Brighton",2,2
"Brighton","Tottenham",1,2
"Burnley","Bournemouth",4,0
"Cardiff","Man City",0,5
"Crystal Palace","Newcastle",0,0
"Fulham","Watford",1,1
"Leicester","Huddersfield",3,1
"Liverpool","Southampton",3,0
"Man United","Wolves",1,1
"Arsenal","Everton",2,0
"West Ham","Chelsea",0,0
"Arsenal","Watford",2,0
"Chelsea","Liverpool",1,1
"Everton","Fulham",3,0
"Huddersfield","Tottenham",0,2
"Man City","Brighton",2,0
"Newcastle","Leicester",0,2
"West Ham","Man United",3,1
"Wolves","Southampton",2,0
"Cardiff","Burnley",1,2
"Bournemouth","Crystal Palace",2,1
"Brighton","West Ham",1,0
"Burnley","Huddersfield",1,1
"Crystal Palace","Wolves",0,1
"Leicester","Everton",1,2
"Man United","Newcastle",3,2
"Tottenham","Cardiff",1,0
"Watford","Bournemouth",0,4
"Fulham","Arsenal",1,5
"Liverpool","Man City",0,0
"Southampton","Chelsea",0,3
"Bournemouth","Southampton",0,0
"Cardiff","Fulham",4,2
"Chelsea","Man United",2,2
"Huddersfield","Liverpool",0,1
"Man City","Burnley",5,0
"Newcastle","Brighton",0,1
"West Ham","Tottenham",0,1
"Wolves","Watford",0,2
"Everton","Crystal Palace",2,0
"Arsenal","Leicester",3,1
"Brighton","Wolves",1,0
"Fulham","Bournemouth",0,3
"Leicester","West Ham",1,1
"Liverpool","Cardiff",4,1
"Southampton","Newcastle",0,0
"Watford","Huddersfield",3,0
"Burnley","Chelsea",0,4
"Crystal Palace","Arsenal",2,2
"Man United","Everton",2,1
"Tottenham","Man City",0,1
"Arsenal","Liverpool",1,1
"Bournemouth","Man United",1,2
"Cardiff","Leicester",0,1
"Everton","Brighton",3,1
"Newcastle","Watford",1,0
"West Ham","Burnley",4,2
"Wolves","Tottenham",2,3
"Chelsea","Crystal Palace",3,1
"Man City","Southampton",6,1
"Huddersfield","Fulham",1,0
"Cardiff","Brighton",2,1
"Crystal Palace","Tottenham",0,1
"Huddersfield","West Ham",1,1
"Leicester","Burnley",0,0
"Newcastle","Bournemouth",2,1
"Southampton","Watford",1,1
"Arsenal","Wolves",1,1
"Chelsea","Everton",0,0
"Liverpool","Fulham",2,0
"Man City","Man United",3,1
"Brighton","Leicester",1,1
"Everton","Cardiff",1,0
"Fulham","Southampton",3,2
"Man United","Crystal Palace",0,0
"Tottenham","Chelsea",3,1
"Watford","Liverpool",0,3
"West Ham","Man City",0,4
"Bournemouth","Arsenal",1,2
"Wolves","Huddersfield",0,2
"Burnley","Newcastle",1,2
"Cardiff","Wolves",2,1
"Crystal Palace","Burnley",2,0
"Huddersfield","Brighton",1,2
"Leicester","Watford",2,0
"Man City","Bournemouth",3,1
"Newcastle","West Ham",0,3
"Southampton","Man United",2,2
"Arsenal","Tottenham",4,2
"Chelsea","Fulham",2,0
"Liverpool","Everton",1,0
"Bournemouth","Huddersfield",2,1
"Brighton","Crystal Palace",3,1
"Watford","Man City",1,2
"West Ham","Cardiff",3,1
"Burnley","Liverpool",1,3
"Everton","Newcastle",1,1
"Fulham","Leicester",1,1
"Man United","Arsenal",2,2
"Tottenham","Southampton",3,1
"Wolves","Chelsea",2,1
"Arsenal","Huddersfield",1,0
"Bournemouth","Liverpool",0,4
"Burnley","Brighton",1,0
"Cardiff","Southampton",1,0
"Chelsea","Man City",2,0
"Leicester","Tottenham",0,2
"Man United","Fulham",4,1
"West Ham","Crystal Palace",3,2
"Newcastle","Wolves",1,2
"Everton","Watford",2,2
"Crystal Palace","Leicester",1,0
"Fulham","West Ham",0,2
"Huddersfield","Newcastle",0,1
"Man City","Everton",3,1
"Tottenham","Burnley",1,0
"Watford","Cardiff",3,2
"Wolves","Bournemouth",2,0
"Brighton","Chelsea",1,2
"Liverpool","Man United",3,1
"Southampton","Arsenal",3,2
"Wolves","Liverpool",0,2
"Arsenal","Burnley",3,1
"Bournemouth","Brighton",2,0
"Cardiff","Man United",1,5
"Chelsea","Leicester",0,1
"Huddersfield","Southampton",1,3
"Man City","Crystal Palace",2,3
"Newcastle","Fulham",0,0
"West Ham","Watford",0,2
"Everton","Tottenham",2,6
"Brighton","Arsenal",1,1
"Burnley","Everton",1,5
"Crystal Palace","Cardiff",0,0
"Fulham","Wolves",1,1
"Leicester","Man City",2,1
"Liverpool","Newcastle",4,0
"Man United","Huddersfield",3,1
"Tottenham","Bournemouth",5,0
"Watford","Chelsea",1,2
"Southampton","West Ham",1,2
"Brighton","Everton",1,0
"Fulham","Huddersfield",1,0
"Leicester","Cardiff",0,1
"Liverpool","Arsenal",5,1
"Tottenham","Wolves",1,3
"Watford","Newcastle",1,1
"Burnley","West Ham",2,0
"Crystal Palace","Chelsea",0,1
"Man United","Bournemouth",4,1
"Southampton","Man City",1,3
"Arsenal","Fulham",4,1
"Cardiff","Tottenham",0,3
"Everton","Leicester",0,1
"Bournemouth","Watford",3,3
"Chelsea","Southampton",0,0
"Huddersfield","Burnley",1,2
"Newcastle","Man United",0,2
"West Ham","Brighton",2,2
"Wolves","Crystal Palace",0,2
"Man City","Liverpool",2,1
"Brighton","Liverpool",0,1
"Burnley","Fulham",2,1
"Cardiff","Huddersfield",0,0
"Chelsea","Newcastle",2,1
"Crystal Palace","Watford",1,2
"Leicester","Southampton",1,2
"West Ham","Arsenal",1,0
"Everton","Bournemouth",2,0
"Tottenham","Man United",0,1
"Man City","Wolves",3,0
"Arsenal","Chelsea",2,0
"Bournemouth","West Ham",2,0
"Liverpool","Crystal Palace",4,3
"Man United","Brighton",2,1
"Newcastle","Cardiff",3,0
"Southampton","Everton",2,1
"Watford","Burnley",0,0
"Wolves","Leicester",4,3
"Fulham","Tottenham",1,2
"Huddersfield","Man City",0,3
"Arsenal","Cardiff",2,1
"Fulham","Brighton",4,2
"Huddersfield","Everton",0,1
"Man United","Burnley",2,2
"Newcastle","Man City",2,1
"Wolves","West Ham",3,0
"Bournemouth","Chelsea",4,0
"Liverpool","Leicester",1,1
"Southampton","Crystal Palace",1,1
"Tottenham","Watford",2,1
"Brighton","Watford",0,0
"Burnley","Southampton",1,1
"Cardiff","Bournemouth",2,0
"Chelsea","Huddersfield",5,0
"Crystal Palace","Fulham",2,0
"Everton","Wolves",1,3
"Tottenham","Newcastle",1,0
"Leicester","Man United",0,1
"Man City","Arsenal",3,1
"West Ham","Liverpool",1,1
"Everton","Man City",0,2
"Brighton","Burnley",1,3
"Crystal Palace","West Ham",1,1
"Fulham","Man United",0,3
"Huddersfield","Arsenal",1,2
"Liverpool","Bournemouth",3,0
"Southampton","Cardiff",1,2
"Watford","Everton",1,0
"Man City","Chelsea",6,0
"Tottenham","Leicester",3,1
"Wolves","Newcastle",1,1
"Cardiff","Watford",1,5
"West Ham","Fulham",3,1
"Bournemouth","Wolves",1,1
"Burnley","Tottenham",2,1
"Leicester","Crystal Palace",1,4
"Newcastle","Huddersfield",2,0
"Arsenal","Southampton",2,0
"Man United","Liverpool",0,0
"Cardiff","Everton",0,3
"Huddersfield","Wolves",1,0
"Leicester","Brighton",2,1
"Newcastle","Burnley",2,0
"Arsenal","Bournemouth",5,1
"Chelsea","Tottenham",2,0
"Crystal Palace","Man United",1,3
"Liverpool","Watford",5,0
"Man City","West Ham",1,0
"Southampton","Fulham",2,0
"Bournemouth","Man City",0,1
"Brighton","Huddersfield",1,0
"Burnley","Crystal Palace",1,3
"Man United","Southampton",3,2
"Tottenham","Arsenal",1,1
"West Ham","Newcastle",2,0
"Wolves","Cardiff",2,0
"Everton","Liverpool",0,0
"Fulham","Chelsea",1,2
"Watford","Leicester",2,1
"Cardiff","West Ham",2,0
"Crystal Palace","Brighton",1,2
"Huddersfield","Bournemouth",0,2
"Leicester","Fulham",3,1
"Man City","Watford",3,1
"Newcastle","Everton",3,2
"Southampton","Tottenham",2,1
"Arsenal","Man United",2,0
"Chelsea","Wolves",1,1
"Liverpool","Burnley",4,2
"Bournemouth","Newcastle",2,2
"Burnley","Leicester",1,2
"West Ham","Huddersfield",4,3
"Everton","Chelsea",2,0
"Fulham","Liverpool",1,2
"Brighton","Southampton",0,1
"Burnley","Wolves",2,0
"Crystal Palace","Huddersfield",2,0
"Fulham","Man City",0,2
"Leicester","Bournemouth",2,0
"Man United","Watford",2,1
"West Ham","Everton",0,2
"Cardiff","Chelsea",1,2
"Liverpool","Tottenham",2,1
"Arsenal","Newcastle",2,0
"Watford","Fulham",4,1
"Wolves","Man United",2,1
"Chelsea","Brighton",3,0
"Man City","Cardiff",2,0
"Tottenham","Crystal Palace",2,0
"Southampton","Liverpool",1,3
"Bournemouth","Burnley",1,3
"Huddersfield","Leicester",1,4
"Newcastle","Crystal Palace",0,1
"Everton","Arsenal",1,0
"Chelsea","West Ham",2,0
"Leicester","Newcastle",0,1
"Brighton","Bournemouth",0,5
"Burnley","Cardiff",2,0
"Fulham","Everton",2,0
"Man United","West Ham",2,1
"Southampton","Wolves",3,1
"Tottenham","Huddersfield",4,0
"Crystal Palace","Man City",1,3
"Liverpool","Chelsea",2,0
"Watford","Arsenal",0,1
"Brighton","Cardiff",0,2
"Bournemouth","Fulham",0,1
"Huddersfield","Watford",1,2
"Man City","Tottenham",1,0
"Newcastle","Southampton",3,1
"West Ham","Leicester",2,2
"Wolves","Brighton",0,0
"Arsenal","Crystal Palace",2,3
"Cardiff","Liverpool",0,2
"Everton","Man United",4,0
"Chelsea","Burnley",2,2
"Tottenham","Brighton",1,0
"Watford","Southampton",1,1
"Man United","Man City",0,2
"Wolves","Arsenal",3,1
"Liverpool","Huddersfield",5,0
"Brighton","Newcastle",1,1
"Crystal Palace","Everton",0,0
"Fulham","Cardiff",1,0
"Southampton","Bournemouth",3,3
"Tottenham","West Ham",0,1
"Watford","Wolves",1,2
"Burnley","Man City",0,1
"Leicester","Arsenal",3,0
"Man United","Chelsea",1,1
"Everton","Burnley",2,0
"Bournemouth","Tottenham",1,0
"Cardiff","Crystal Palace",2,3
"Newcastle","Liverpool",2,3
"West Ham","Southampton",3,0
"Wolves","Fulham",1,0
"Arsenal","Brighton",1,1
"Chelsea","Watford",3,0
"Huddersfield","Man United",1,1
"Man City","Leicester",1,0
"Brighton","Man City",1,4
"Burnley","Arsenal",1,3
"Crystal Palace","Bournemouth",5,3
"Fulham","Newcastle",0,4
"Leicester","Chelsea",0,0
"Liverpool","Wolves",2,0
"Man United","Cardiff",0,2
"Southampton","Huddersfield",1,1
"Tottenham","Everton",2,2
"Watford","West Ham",1,4
